source_category,product_name,code,categories_tags,additives_n,additives_tags,energy_kcal_100g,fat_100g,saturated_fat_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,rating
breads,Seeded Batch,5010044002552,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:breads', 'en:sliced-breads', 'en:multigrain-sliced-breads']",5,"['en:e282', 'en:e300', 'en:e471', 'en:e472e', 'en:e481']",293.0,8.9,1.3,2.6,6.0,10.6,0.95,10
breads,The Original Crunchy Rye Breads,5010265002836,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:snacks', 'en:cereals-and-potatoes', 'en:salty-snacks', 'en:appetizers', 'en:biscuits-and-crackers', 'en:breads', 'en:crackers-appetizers', 'en:crispbreads']",0,[],352.0,0.952,0.19,2.86,13.3,10.5,0.762,4
breads,Pain de mie american sandwich complet sans sucres ajoutés 600g,3228857002344,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breads', 'en:sliced-breads', 'en:wholemeal-breads', 'en:wholemeal-sliced-breads']",0,[],280.0,6.8,0.5,3.6,8.1,7.7,1.1,56
breads,Tasty Wholemeal Medium,5010003000339,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:breads', 'en:sliced-breads']",4,"['en:e282', 'en:e300', 'en:e471', 'en:e472e']",220.0,1.75,0.5,4.0,6.75,10.0,0.888,89
breads,50/50 Medium Bread,5010092093441,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:breads', 'en:sliced-breads']",3,"['en:e282', 'en:e300', 'en:e472e']",235.0,2.25,1.0,8.75,11.8,9.5,0.95,5
breads,Piadina,5060198642760,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:breads', 'en:flatbreads']",0,[],299.0,7.9,1.2,2.4,2.0,8.9,1.475,13
breads,Grilletines blé complet,3182180002115,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:breads', 'en:rusks', 'en:toasts', 'en:toasted-bread-rolls']",2,"['en:e300', 'en:e471']",418.0,10.0,2.0,7.3,6.7,13.0,0.87,86
breads,Wholemeal Bread,5010044000251,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breads', 'en:sliced-breads', 'en:wholemeal-breads']",5,"['en:e282', 'en:e300', 'en:e471', 'en:e472e', 'en:e481']",228.0,2.23,0.446,2.46,6.47,10.5,0.943,29
breads,Harrys beau & bon pain de mie farine de ble cereales & graines 320g,3228857001194,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:frozen-foods', 'en:cereals-and-their-products', 'en:breads', 'en:sliced-breads', 'en:white-breads', 'en:bread-white-from-wheat-flour-of-the-highest-grade-gost-26987-86', 'en:frozen-breads', 'en:multigrain-sliced-breads']",0,[],286.0,6.5,0.7,3.5,6.0,12.0,1.0,36
breads,Ryvita Multigrain Crispbread,5050974505259,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:snacks', 'en:cereals-and-potatoes', 'en:salty-snacks', 'en:appetizers', 'en:biscuits-and-crackers', 'en:breads', 'en:crackers-appetizers', 'en:plain-salty-snacks']",0,[],352.0,4.76,0.952,3.81,17.1,12.4,0.571,45
breads,White Sourdough,252751,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:breads']",1,['en:e300'],266.0,3.3,0.4,1.5,2.0,9.2,0.00237,52
breads,Toastie Thick Sliced Soft White Bread,5010044000121,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:breads', 'en:white-breads', 'en:sliced-white-bread']",4,"['en:e282', 'en:e300', 'en:e472e', 'en:e481']",244.0,2.0,0.5,3.0,2.3,9.1,0.965,38
breads,Organic Crisp Bread,4033634061020,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:snacks', 'en:cereals-and-potatoes', 'en:salty-snacks', 'en:appetizers', 'en:biscuits-and-crackers', 'en:breads', 'en:crackers-appetizers', 'en:crispbreads', 'en:aliments-d-origine-vegetale', 'en:aliments-et-boissons-a-base-de-vegetaux', 'en:amuse-gueules', 'en:biscuits-sucres-biscuits-aperitifs', 'en:cereales-et-pommes-de-terre', 'en:pains', 'en:pains-croustillants', 'en:pains-croustillants-complets', 'en:snacks-sales']",0,[],442.0,18.0,4.7,2.4,10.0,18.0,1.8,18
breads,Italian Original Breadsticks,5018374285577,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:breads', 'en:breadsticks']",0,[],414.0,7.9,1.4,2.8,2.8,11.2,1.8,88
breads,Krisprolls complets sans sucres ajoutés,7311070032598,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breads', 'en:toasts', 'en:toasted-bread-rolls']",0,[],400.0,6.92,0.769,3.85,8.46,13.1,1.08,12
breads,Whole Grain Rye Bread,41005514,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:breads', 'en:rye-breads']",0,[],201.0,1.0,0.1,2.2,7.7,5.2,1.15,71
breads,White Sourdough Loaf,4088600065991,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:flours', 'en:breads', 'en:bread-flours', 'en:sourdough', 'en:vegetarian']",0,[],231.0,0.7,0.1,1.9,4.5,9.4,0.88,21
breads,"Maestro Cereale avec du Levain, Millet et Quinoa",8008698007389,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:specific-products', 'en:products-for-specific-diets', 'en:breads', 'en:products-without-gluten', 'en:special-breads', 'en:gluten-free-breads', 'en:sliced-breads']",2,"['en:e464', 'en:potassium-iodide']",249.0,6.6,0.8,4.1,9.9,4.5,0.97,23
breads,Hand Finished White Sourdough,5000129341034,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:breads', 'en:white-breads', 'en:sourdough-breads']",0,[],242.0,2.7,0.3,2.7,5.2,8.0,0.79,3
breads,Tartines de Pain Blé Complet,3182180060320,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:breads', 'en:rusks', 'en:toasts', 'fr:pain-grille-complet']",1,['en:e300'],382.0,5.0,0.8,4.2,8.7,13.0,1.5,54
breads,4 Greek Style Flatbreads,5012121004336,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breads', 'en:flatbreads', 'en:special-breads', 'en:white-breads', 'en:wheat-breads', 'en:wheat-flatbreads']",7,"['en:e202', 'en:e282', 'en:e330', 'en:e341', 'en:e450', 'en:e450i', 'en:e466', 'en:e500', 'en:e500ii']",255.0,4.2,1.0,2.9,6.7,11.3,0.89,82
breads,Pain AMS complet,3228857000906,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:breads', 'en:sliced-breads', 'en:wholemeal-breads', 'en:wholemeal-sliced-breads']",0,[],253.0,4.5,0.4,4.9,7.2,7.7,1.2,35
breads,Heudebert Fibre +,3017760363990,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breads', 'en:rusks', 'en:toasts', 'en:multigrain-rusks', 'en:wholemeal-rusks']",1,['en:e300'],384.0,5.7,2.2,5.4,12.0,15.0,1.1,46
breads,Krisprolls complets,7311070032604,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breads', 'en:toasts', 'en:toasted-bread-rolls']",0,[],397.0,6.2,2.1,7.0,7.7,12.0,1.6,26
breads,Tartines céréales 450g,3760049796384,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:snacks', 'en:cereals-and-potatoes', 'en:sweet-snacks', 'en:sweet-pastries-and-pies', 'en:breads', 'en:viennoiseries', 'en:sliced-breads', 'en:multigrain-sliced-breads']",2,"['en:e282', 'en:e300']",298.0,10.0,1.0,2.9,5.8,10.0,1.1,33
breads,Pain de mie complet,6111246910023,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:breads', 'en:sliced-breads', 'en:wholemeal-breads', 'en:wholemeal-sliced-breads']",9,"['en:e200', 'en:e202', 'en:e270', 'en:e282', 'en:e300', 'en:e341', 'en:e471', 'en:e472e', 'en:e481']",231.0,2.1,0.12,3.8,5.0,8.0,1.05,6
breads,Krisprolls,7311070362664,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:breads', 'en:toasts', 'en:toasted-bread-rolls']",0,[],432.0,11.0,4.0,10.0,3.0,9.0,0.67,79
breads,Tortillas de trigo integrales,8480000809421,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breads', 'en:flatbreads', 'en:special-breads', 'en:white-breads', 'en:wheat-breads', 'en:wheat-flatbreads', 'en:wholemeal-breads']",9,"['en:e202', 'en:e282', 'en:e296', 'en:e330', 'en:e415', 'en:e422', 'en:e471', 'en:e500', 'en:e500ii', 'en:e920']",271.0,5.8,1.9,2.1,8.5,9.3,1.5,27
breads,Pain de mie grandes tranches Toastiligne céréales & graines 500g,3760049795479,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:breads', 'en:sliced-breads', 'en:multigrain-sliced-breads']",2,"['en:e282', 'en:e300']",250.0,2.9,0.4,3.8,5.9,11.0,1.0,68
breads,Biscottes Sans sucres ajoutés Blé complet,3182180001996,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:breads', 'en:rusks', 'en:toasts', 'en:wholemeal-rusks']",1,['en:e300'],384.0,6.2,0.7,3.4,12.0,14.0,1.1,54
breads,Tosta PAN FIBRA & SÉSAMO,8710445020878,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breads']",0,[],391.0,7.6,1.1,3.0,24.7,13.0,1.13,26
breads,Trigo Espelta Crackers,8710482532303,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:breads', 'en:crispbreads']",0,[],440.0,14.0,1.4,3.8,14.0,15.0,1.0,49
breads,Soft White Medium Bread,5010003000131,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:breads', 'en:sliced-breads', 'en:white-breads', 'en:sliced-white-bread']",5,"['en:e282', 'en:e300', 'en:e471', 'en:e472e', 'en:e481']",232.0,1.75,0.25,3.5,2.5,8.75,0.887,12
breads,Protein Thin Bagels,5010044007588,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:breads', 'en:special-breads', 'en:bagel-breads']",7,"['en:e282', 'en:e300', 'en:e330', 'en:e466', 'en:e472e', 'en:e481', 'en:e920']",257.0,3.3,0.7,3.2,5.0,13.5,0.885,48
breads,Wholemeal Pittas,5000119095282,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breads', 'en:flatbreads', 'en:special-breads', 'en:pitas']",1,['en:e282'],241.0,1.2,0.2,2.8,9.7,10.3,0.59,63
breads,Mission Deli White Wraps,5036034406193,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:breads', 'en:flatbreads', 'en:white-breads', 'en:wheat-breads', 'en:wheat-flatbreads']",6,"['en:e202', 'en:e282', 'en:e296', 'en:e422', 'en:e471', 'en:e500']",313.0,7.05,1.15,2.13,3.28,8.03,0.775,71
breads,Pain de mie grandes tranches 7 cereales,4056489235798,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:breads', 'en:sliced-breads', 'en:multigrain-sliced-breads', 'en:pain-de-mie']",1,['en:e262'],290.0,9.4,1.0,3.4,5.0,10.4,1.0,97
breads,Wholemeal Pittas,234931,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:breads', 'en:flatbreads', 'en:special-breads', 'en:pitas']",1,['en:e282'],241.0,1.25,0.179,2.86,5.18,10.4,1.43,39
breads,Wraps,8410076472953,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:breads', 'en:flatbreads', 'en:white-breads', 'en:wheat-breads', 'en:wheat-flatbreads']",4,"['en:e422', 'en:e450', 'en:e450i', 'en:e471', 'en:e500', 'en:e500ii']",299.0,5.2,1.2,2.1,1.6,9.1,1.0,7
breads,6 Wholemeal Pittas,4088600276267,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:breads', 'en:flatbreads', 'en:special-breads', 'en:pitas']",1,['en:e282'],236.0,1.3,0.3,1.7,8.1,10.0,0.85,28
breads,8 Pains au lait frais Bio 280g,3284230011884,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:snacks', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:sweet-snacks', 'en:sweet-pastries-and-pies', 'en:breads', 'en:viennoiseries', 'en:milk-bread-rolls']",0,[],345.0,11.0,1.2,8.7,2.4,9.3,0.9,66
breads,NYC BAGEL Sesame,5020364010151,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:breads', 'en:special-breads', 'en:bagel-breads']",2,"['en:e282', 'en:e300']",313.0,4.43,0.0,0.0,0.0,12.9,0.0,83
breads,Sourdough Wholemeal Ciabattin,5025125000198,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:breads', 'en:sliced-breads', 'en:wholemeal-breads', 'en:wholemeal-sliced-breads']",0,[],232.0,1.2,0.2,2.2,6.5,11.7,0.77,14
breads,Pan de molde con 52% centeno,8480000823021,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:breads', 'en:special-breads', 'en:sliced-breads']",6,"['en:e200', 'en:e202', 'en:e282', 'en:e330', 'en:e471', 'en:e472e']",265.0,7.8,1.0,2.1,7.5,10.0,1.3,4
breads,Biscottes sans sel et sans sucre ajoutés,3182189999805,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:frozen-foods', 'en:specific-products', 'en:products-for-specific-diets', 'en:breads', 'en:products-with-reduced-salt', 'en:rusks', 'en:rusks-without-salt']",1,['en:e300'],390.0,3.7,0.5,2.2,7.0,15.0,0.02,60
